id,product,prices
1001,Bread Ww Cluster,31.0
1002,Glove - Cutting,50.0
1003,Ice Cream - Super Sandwich,12.0
1004,Wine - Chateau Bonnet,16.0
1005,Ecolab - Ster Bac,77.0
1006,Waffle Stix,60.0
1007,Peppercorns - Green,40.0
1008,Wine - Charddonnay Errazuriz,56.0
1009,Muffin Mix - Blueberry,27.0
1010,Tea - Mint,44.0
1011,Beer - Sleeman Fine Porter,37.0
1012,Soup Knorr Chili With Beans,27.0
1013,Shrimp - Black Tiger 13/15,83.0
1014,"Beans - Navy, Dry",60.0
1015,Wheat - Soft Kernal Of Wheat,70.0
1016,Shortbread - Cookie Crumbs,36.0
1017,Jello - Assorted,65.0
1018,Vodka - Moskovskaya,45.0
1019,Mushroom Morel Fresh,88.0
1020,Appetizer - Asian Shrimp Roll,42.0
1021,Wine - Prosecco Valdobiaddene,14.0
1022,Chinese Foods - Thick Noodles,70.0
1023,Coffee Swiss Choc Almond,43.0
1024,Chicken - Soup Base,79.0
1025,Longos - Lasagna Veg,52.0
1026,"Beef - Rib Roast, Capless",27.0
1027,"Soup - Knorr, Chicken Noodle",25.0
1029,Spic And Span All Purpose,61.0
1030,Wine - Sogrape Mateus Rose,69.0
1031,Duck - Fat,69.0
1032,Wine - Pinot Grigio Collavini,59.0
1033,"Syrup - Monin, Irish Cream",95.0
1034,Soup - Tomato Mush. Florentine,32.0
1035,Soup - Base Broth Chix,63.0
1036,Creme De Cacao Mcguines,56.0
1037,Veal - Insides Provini,58.0
1038,Longos - Penne With Pesto,65.0
1039,Leeks - Large,48.0
1040,Food Colouring - Red,44.0
1041,Yokaline,30.0
1042,Wakami Seaweed,39.0
1043,Lettuce - Iceberg,74.0
1044,"Lemonade - Black Cherry, 591 Ml",79.0
1045,Muffin Chocolate Individual Wrap,78.0
1046,"Crush - Orange, 355ml",52.0
1047,Crab - Meat,31.0
1048,"Cheese - Cheddar, Medium",48.0
1049,Pork - Smoked Back Bacon,40.0
1050,Cleaner - Comet,35.0
1051,Chips - Miss Vickies,63.0
1052,Cheese - Oka,56.0
1053,Spice - Montreal Steak Spice,24.0
1054,Pie Filling - Cherry,30.0
1055,Juice - Ocean Spray Cranberry,68.0
1056,Celery,67.0
1057,Cookies - Englishbay Chochip,36.0
1058,Steampan Lid,59.0
1059,Flower - Dish Garden,36.0
1060,Tomatoes Tear Drop Yellow,47.0
1061,Skewers - Bamboo,44.0
1062,"Crab - Blue, Frozen",40.0
1063,"Cheese - Woolwich Goat, Log",7.0
1064,Bag - Regular Kraft 20 Lb,43.0
1065,Smoked Tongue,30.0
1066,Sobe - Berry Energy,34.0
1067,Shiro Miso,50.0
1068,"Wine - White, Mosel Gold",63.0
1069,Appetizer - Lobster Phyllo Roll,18.0
1070,Cheese - Cream Cheese,49.0
1071,Bread - 10 Grain,51.0
1072,Juice - V8 Splash,51.0
1073,Pea - Snow,47.0
1074,Oil - Sunflower,67.0
1075,Onions - Spanish,55.0
1076,Squash - Pepper,63.0
1077,Browning Caramel Glace,78.0
1078,Sea Urchin,32.0
1079,Crush - Cream Soda,5.0
1080,Mushroom - King Eryingii,46.0
1081,Tarragon - Fresh,46.0
1082,Mushroom - Portebello,9.0
1083,Ecolab - Mikroklene 4/4 L,28.0
1084,Star Fruit,81.0
1085,Prunes - Pitted,77.0
1086,"Brownies - Two Bite, Chocolate",42.0
1087,"Wine - Niagara,vqa Reisling",48.0
1088,Milk - Condensed,48.0
1089,Beer - Tetleys,16.0
1090,Spice - Onion Powder Granulated,40.0
1091,Oil - Coconut,62.0
1092,Mushroom - Morel Frozen,80.0
1093,Juice - Lemon,52.0
1094,"Lamb - Whole Head Off,nz",44.0
1095,"Bread - White, Sliced",63.0
1096,Sauerkraut,56.0
1097,Cheese - Marble,36.0
1098,"Chicken - Diced, Cooked",33.0
1099,Carbonated Water - Wildberry,60.0
1100,Strawberries,58.0
1101,Tomato - Plum With Basil,63.0
1102,"Quail - Eggs, Fresh",54.0
1103,Chicken - Whole Fryers,39.0
1105,Bacardi Raspberry,37.0
1106,"Coke - Diet, 355 Ml",67.0
1107,Glass Clear 8 Oz,34.0
1108,Cheese - Swiss,40.0
1109,Rye Special Old,40.0
1110,Alize Red Passion,58.0
1111,Wine - Peller Estates Late,77.0
1112,Mussels - Frozen,48.0
1113,Turkey Leg With Drum And Thigh,64.0
1114,English Muffin,71.0
1115,"Cheese - Havarti, Roasted Garlic",45.0
1116,Lamb Rack Frenched Australian,68.0
1117,Wine - Puligny Montrachet A.,41.0
1118,"Hickory Smoke, Liquid",63.0
1119,Wild Boar - Tenderloin,42.0
1120,Beer - Camerons Cream Ale,30.0
1121,Truffle - Whole Black Peeled,50.0
1122,Bread - Pita,60.0
1123,"Bread - Roll, Calabrese",65.0
1124,Avocado,59.0
1125,Vinegar - White Wine,54.0
1126,True - Vue Containers,67.0
1128,"Soup - Knorr, Country Bean",48.0
1129,Chicken Breast Halal,37.0
1130,"Soup - Campbells, Lentil",49.0
1131,"Pepper - Paprika, Hungarian",56.0
1132,"Coconut - Shredded, Unsweet",46.0
1133,Plastic Wrap,73.0
1134,"Yeast - Fresh, Fleischman",80.0
1135,Cheese - Mozzarella,63.0
1136,Sea Bass - Fillets,47.0
1137,"Beans - Turtle, Black, Dry",33.0
1138,Soup - Campbells Asian Noodle,39.0
1139,Sardines,65.0
1140,Magnotta Bel Paese Red,69.0
1141,"Beef - Cooked, Corned",39.0
1142,Corn - On The Cob,55.0
1143,Soup - Campbells Beef Stew,38.0
1144,Food Colouring - Pink,48.0
1145,Clams - Bay,67.0
1146,Chocolate - Milk Coating,71.0
1148,Stainless Steel Cleaner Vision,47.0
1149,Veal Inside - Provimi,74.0
1150,Port - 74 Brights,43.0
1151,Water - San Pellegrino,60.0
1152,Chocolate - White,88.0
1153,Water - Perrier,51.0
1154,Duck - Breast,37.0
1155,Hinge W Undercut,38.0
1156,Oil - Sesame,57.0
1157,Beef - Striploin Aa,60.0
1158,Rosemary - Dry,16.0
1159,Bag Clear 10 Lb,4.0
1160,Steamers White,29.0
1161,"Bread - Bagels, Plain",41.0
1164,"Vermouth - White, Cinzano",48.0
1165,Pepsi - 600ml,31.0
1166,Gatorade - Lemon Lime,57.0
1167,Steam Pan - Half Size Deep,60.0
1169,Cookies - Fortune,32.0
1170,"Beef - Bones, Marrow",54.0
1171,Apple - Macintosh,56.0
1172,Ham Black Forest,61.0
1173,Milk - Chocolate 500ml,38.0
1174,Goat - Whole Cut,13.0
1175,"Butter - Salted, Micro",38.0
1176,Scallops - 20/30,56.0
1177,Compound - Passion Fruit,63.0
1178,Sauce - Hp,31.0
1179,Wine - Fontanafredda Barolo,36.0
1180,Ice Cream - Turtles Stick Bar,62.0
1181,Veal - Liver,17.0
1182,Sole - Iqf,26.0
1183,Clam - Cherrystone,60.0
1184,"Pork - Sausage, Medium",68.0
1185,Pasta - Ravioli,59.0
1187,Trueblue - Blueberry 12x473ml,37.0
1188,"Gingerale - Schweppes, 355 Ml",62.0
1190,Cup - Paper 10oz 92959,61.0
1191,Blackberries,69.0
1192,Pastry - Choclate Baked,81.0
1193,Rice - 7 Grain Blend,37.0
1194,Nantucket Apple Juice,45.0
1195,"Rice Pilaf, Dry,package",85.0
1196,Longos - Chicken Curried,83.0
1197,Sprouts - China Rose,47.0
1198,"Croissant, Raw - Mini",80.0
1199,"Cheese - Brie, Cups 125g",30.0
1200,Oxtail - Cut,82.0
1201,"Bread - Pumpernickle, Rounds",36.0
1202,Potatoes - Mini Red,53.0
1203,"Wine - Magnotta, White",57.0
1204,"Capon - Breast, Double, Wing On",74.0
1205,"Trout - Rainbow, Frozen",11.0
1206,Onions Granulated,74.0
1207,Vinegar - Balsamic,48.0
1208,Wasabi Powder,31.0
1210,Muffin Mix - Banana Nut,29.0
1211,Banana - Leaves,70.0
1212,"Turkey - Whole, Fresh",51.0
1213,Turnip - Wax,60.0
1214,"Lid - High Heat, Super Clear",68.0
1215,Bread - Multigrain Oval,70.0
1216,"Cheese - Romano, Grated",36.0
1217,Beer - Sleemans Honey Brown,49.0
1218,Sage - Rubbed,94.0
1219,Onions - Green,62.0
1221,Containter - 3oz Microwave Rect.,105.0
1222,Pastry - Trippleberry Muffin - Mini,34.0
1223,Bread - Granary Small Pull,55.0
1224,Sage - Fresh,63.0
1225,Milkettes - 2%,70.0
1226,Dr. Pepper - 355ml,30.0
1227,Beer - Blue,33.0
1228,Pepper - Roasted Red,79.0
1229,Wine - Semi Dry Riesling Vineland,41.0
1230,"Cake Circle, Foil, Scallop",67.0
1231,Chips - Assorted,23.0
1234,Cookies - Amaretto,65.0
1235,Grenadillo,87.0
1236,Bread - Sour Batard,17.0
1237,Truffle Cups - Red,43.0
1238,Island Oasis - Ice Cream Mix,56.0
1239,Potato - Sweet,33.0
1240,"Wine - Red, Harrow Estates, Cab",81.0
1241,Sponge Cake Mix - Vanilla,59.0
1242,Chevril,42.0
1243,Steel Wool,48.0
1244,Cucumber - English,27.0
1245,Wine - Montecillo Rioja Crianza,33.0
1246,"Sauce - Apple, Unsweetened",62.0
1247,Coffee Decaf Colombian,77.0
1248,Muffin - Blueberry Individual,50.0
1249,Pastry - Chocolate Chip Muffin,50.0
1251,Squid U5 - Thailand,51.0
1252,"Lemonade - Strawberry, 591 Ml",42.0
1253,Sultanas,69.0
1254,Pepper - Scotch Bonnet,70.0
1255,Soup - Campbellschix Stew,34.0
1256,Sole - Fillet,28.0
1257,Beer - Creemore,83.0
1258,Grapefruit - White,53.0
1260,Melon - Cantaloupe,66.0
1261,Cake - Mini Potato Pancake,56.0
1262,Tuna - Loin,43.0
1263,"Pork - Loin, Bone - In",52.0
1264,Beets - Mini Golden,56.0
1265,Lettuce - California Mix,77.0
1266,Tomatoes - Cherry,43.0
1267,Oysters - Smoked,79.0
1269,Bread Base - Italian,67.0
1270,Baking Soda,64.0
1271,Rice - Aborio,77.0
1272,Sunflower Seed Raw,15.0
1273,Chocolate Bar - Smarties,52.0
1274,"Split Peas - Yellow, Dry",55.0
1275,Pastry - French Mini Assorted,7.0
1276,"Soup - Campbells, Creamy",89.0
1277,Bread Cranberry Foccacia,84.0
1279,Island Oasis - Strawberry,39.0
1280,Cotton Wet Mop 16 Oz,61.0
1281,Wine - Piper Heidsieck Brut,18.0
1283,Soup - Cream Of Potato / Leek,34.0
1285,Bread - Pain Au Liat X12,66.0
1286,Glycerine,59.0
1287,Milk - Buttermilk,9.0
1288,Pork - Backfat,13.0
1289,Ginger - Fresh,43.0
1290,Jolt Cola - Electric Blue,57.0
1291,Petite Baguette,47.0
1292,Lid Coffee Cup 8oz Blk,57.0
1293,"Wine - White, Lindemans Bin 95",53.0
1294,Sugar - Monocystal / Rock,63.0
1295,Wine - Tio Pepe Sherry Fino,81.0
1296,Table Cloth 120 Round White,38.0
1297,Beef - Cow Feet Split,12.0
1298,Heavy Duty Dust Pan,68.0
1299,Wine - Merlot Vina Carmen,50.0
1300,Cleaner - Bleach,78.0
1301,"Jam - Blackberry, 20 Ml Jar",64.0
1302,Quiche Assorted,74.0
1303,"Ham - Smoked, Bone - In",62.0
1304,"Bread - Roll, Canadian Dinner",28.0
1305,"Pasta - Cannelloni, Sheets, Fresh",76.0
1306,Pie Pecan,91.0
1307,Flour - Strong Pizza,50.0
1308,Silicone Parch. 16.3x24.3,28.0
1309,Yeast Dry - Fermipan,42.0
1310,Puff Pastry - Slab,11.0
1311,Wine - Vouvray Cuvee Domaine,61.0
1313,Relish,63.0
1314,"Beef - Tongue, Fresh",77.0
1315,Tandoori Curry Paste,37.0
1316,Corn Syrup,39.0
1317,"Turkey - Breast, Smoked",72.0
1318,Godiva White Chocolate,48.0
1319,Bread - Rye,41.0
1321,Foil - Round Foil,41.0
1322,Creme De Menth - White,49.0
1323,Oil - Cooking Spray,40.0
1324,Appetizer - Smoked Salmon / Dill,62.0
1325,Beans - Fine,70.0
1326,Wine - Dubouef Macon - Villages,74.0
1327,"Clams - Littleneck, Whole",21.0
1328,Vol Au Vents,44.0
1329,Pastry - Carrot Muffin - Mini,52.0
1330,Cheese - Wine,63.0
1331,Scallops - Live In Shell,25.0
1332,Salt - Kosher,62.0
1333,"Star Anise, Whole",70.0
1334,Tomatoes - Yellow Hot House,24.0
1335,Pepper - Sorrano,59.0
1336,"Wine - White, Antinore Orvieto",75.0
1337,Island Oasis - Raspberry,28.0
1338,Wine - Sauvignon Blanc,72.0
1339,Chevere Logs,47.0
1340,Plastic Arrow Stir Stick,75.0
1341,Cup - 4oz Translucent,18.0
1342,Wine - Tribal Sauvignon,29.0
1343,Tequila Rose Cream Liquor,70.0
1344,Arctic Char - Fillets,11.0
1346,Pepper - Red Bell,2.0
1347,"Cheese - Brie,danish",71.0
1348,Flour Pastry Super Fine,71.0
1349,Wine - Malbec Trapiche Reserve,53.0
1350,Wine - Segura Viudas Aria Brut,56.0
1351,Mustard - Dijon,56.0
1353,Milk - 2% 250 Ml,61.0
1354,Wine - Niagara Peninsula Vqa,51.0
1355,Meldea Green Tea Liquor,32.0
1356,Flounder - Fresh,27.0
1357,Sobe - Green Tea,43.0
1358,Water - Spring 1.5lit,46.0
1359,Cookie Trail Mix,92.0
1361,"Oranges - Navel, 72",43.0
1363,Water - Tonic,47.0
1365,Oven Mitts - 15 Inch,54.0
1367,"Pepper - Green, Chili",53.0
1368,Table Cloth 54x54 Colour,73.0
1369,The Pop Shoppe - Lime Rickey,57.0
1370,Mushrooms - Honey,18.0
1371,Crackers - Graham,60.0
1372,Soap - Pine Sol Floor Cleaner,35.0
1373,Wine - Touraine Azay - Le - Rideau,48.0
1374,Peas - Frozen,55.0
1376,Ice Cream Bar - Oreo Sandwich,56.0
1378,Cinnamon - Ground,38.0
1380,Calaloo,41.0
1381,Vegetable - Base,34.0
1382,"Lamb - Leg, Bone In",92.0
1383,Lettuce - Spring Mix,72.0
1384,Beer - Muskoka Cream Ale,42.0
1385,Five Alive Citrus,46.0
1386,Remy Red Berry Infusion,44.0
1387,Mayonnaise - Individual Pkg,51.0
1388,Beef - Tenderloin - Aa,47.0
1389,"Jam - Marmalade, Orange",60.0
1390,"Soup - Knorr, Classic Can. Chili",62.0
1391,Tart - Butter Plain Squares,60.0
1392,"Cheese - Brie, Triple Creme",46.0
1393,Bagelers - Cinn / Brown,51.0
1396,Beef - Prime Rib Aaa,43.0
1397,"Seedlings - Mix, Organic",56.0
1398,Allspice - Jamaican,15.0
1399,Kolrabi,48.0
1400,Yogurt - Assorted Pack,107.0
1401,Wine - Riesling Alsace Ac 2001,52.0
1402,"Rum - White, Gg White",107.0
1403,Cheese - Bocconcini,56.0
1404,Compound - Orange,66.0
1405,Cookie Dough - Chocolate Chip,69.0
1406,Raisin - Golden,56.0
1407,Energy Drink Red Bull,83.0
1408,Apricots Fresh,31.0
1409,Tomato Puree,88.0
1410,Ice Cream Bar - Rolo Cone,53.0
1411,"Chilli Paste, Ginger Garlic",52.0
1412,Soup V8 Roasted Red Pepper,71.0
1414,Emulsifier,2.0
1416,French Pastry - Mini Chocolate,55.0
1417,Broom Handle,53.0
1418,Ham - Cooked,73.0
1419,Pepper - Red Thai,79.0
1420,Flavouring - Raspberry,45.0
1421,Salt And Pepper Mix - Black,58.0
1422,"Chocolate - Pistoles, Lactee, Milk",43.0
1423,Lychee,88.0
1424,Beef - Flank Steak,46.0
1427,Chicken - Whole,34.0
1428,Higashimaru Usukuchi Soy,45.0
1429,Mace Ground,36.0
1430,"Pasta - Fettuccine, Dry",68.0
1432,Shiratamako - Rice Flour,59.0
1434,Mushroom - Porcini Frozen,50.0
1435,"Beef - Rib Roast, Cap On",2.0
1436,Truffle Cups - Brown,47.0
1437,"Pepper - Black, Ground",68.0
1439,Chicken Thigh - Bone Out,41.0
1441,Tea - English Breakfast,2.0
1442,Tomatoes - Grape,97.0
1443,"Soup - Beef Conomme, Dry",75.0
1444,Sun - Dried Tomatoes,75.0
1445,Lamb - Bones,38.0
1448,Carbonated Water - Orange,46.0
1449,Green Scrubbie Pad H.duty,41.0
1450,Wine - Chateauneuf Du Pape,13.0
1451,Rootbeer,33.0
1452,"Soup - Knorr, French Onion",46.0
1453,"Garlic - Primerba, Paste",22.0
1454,Melon - Watermelon Yellow,76.0
1455,Bandage - Fexible 1x3,43.0
1456,Sugar - Individual Portions,17.0
1457,Pears - Fiorelle,12.0
1458,Puree - Blackcurrant,57.0
1459,Tea - Herbal - 6 Asst,53.0
1460,Gherkin - Sour,55.0
